Month,Site,Metolachlor,Other Pesticides 
February,4,0.08,0.125
February,5,0.1,0.135
February,8,0.195,0.2325
March,4,0.1025,0
March,5,0.175,0.0775
March,8,0.1425,0.0725
April,4,0.24,0.2125
April,5,0.2375,0.1175
April,8,0.17,0.35
May,4,0.355,0.3525
May,5,0.3075,0.085
May,8,1.1925,2.14
June,4,1.065,0.5325
June,5,1.1975,1.5675
June,8,0.8725,2.2125
July,4,1.245,0.7275
July,5,1.255,1.2
July,8,NS,NS
August,4,0.26,0.4225
August,5,2.635,0.8875
August,8,2.2825,1.02
September,4,0.185,0.88
September,5,1.4675,0.6275
September,8,1.6025,0.6275
October,4,0.57,0.2075
October,5,0,0.45
October,8,0.3875,0.4475
November,4,0.2075,0.565
November,5,0.3975,0.6625
November,8,0.755,0.8225
December,4,0.295,0.335
December,5,0.265,0.475
December,8,0.315,0.825
January,4,0.23,0.45
January,5,0.16,0.0675
January,8,0.12,0.37
